ID;N;K;M;P;scale_batch_effect;scale_covariate_effect;SD_residual;treatment_effect;prob_treatment;adjust_for_covariate;p_rnd_no_control;p_rnd_control;p_anticlust_no_control;p_anticlust_control;p_confound_no_control;p_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
870345974559165;344;2;5;2;10;1;2;1.5;0.5;1;0.00109662520898278;1.74002733273293e-09;8.29925129921705e-05;1.39176897575161e-09;4.23469752817783e-79;0.982261133525003;-0.0639545692791667;-0.00581405175265152;0.99420284970341;0.280879394882416;1;4.60692006405633e-75
575396095266606;42;2;5;2;10;1;2;1.5;0.5;1;0.370414327094986;0.0928717996702139;0.223988827165466;0.0961648374118958;0.000630766032076376;0.175160942577856;-0.0953462589245592;0;-0.953462589245592;0.757354091845753;1;4.35304874333918e-09
836571936700409;86;2;5;2;10;1;2;1.5;0.5;1;0.0352974683492962;0.0144443387079621;0.0767763028162277;0.014865564860386;4.65275917744438e-16;0.0200035576027533;0.0466252404120157;0;0.932504808240314;0.828837819548191;1;3.41257945522445e-17
767224898587309;84;2;5;2;10;1;2;1.5;0.5;1;0.138312269330248;0.000347697706027725;0.085285186771593;0.000465232803410059;1.45062785739834e-11;0.863711592391762;0;0;-0.953462589245592;1;1;1.59328577601036e-17
342826497154987;182;2;5;2;10;1;2;1.5;0.5;1;0.11550702339922;6.91869447075352e-05;0.0167295078466394;3.44612043890632e-05;5.75441006249389e-38;0.0402780383897567;-0.109896745565964;0;0.98907071009368;0.18209594670204;1;9.3711879713217e-40
90176732209357;216;2;5;2;10;1;2;1.5;0.5;1;0.000300947934609101;3.1951707841544e-07;0.0006356943054005;2.72406859148992e-07;8.39512787943466e-18;0.799484834139903;0.0463141678647274;0.00926283357294547;-0.972597525159275;0.586069118846337;1;1.66502871279936e-45
764170731121071;382;2;5;2;10;1;2;1.5;0.5;1;0.000947609406646745;1.55681779242764e-07;0.000480795493308248;1.3818725302397e-07;2.35550250901941e-26;0.00632506441643585;-0.0264239759437924;0.00528479518875847;-0.871991206145148;0.679488301541787;1;2.29598898494012e-64
246431653813057;210;2;5;2;10;1;2;1.5;0.5;1;0.303285468382541;0.0268588394295494;0.0619306014622633;0.0247958090822054;9.44441299822007e-20;0.509798144068652;-0.0667150942889008;0.00953072775555726;-0.962603503311283;0.407285392974454;1;2.17753255081328e-43
902989263751288;204;2;5;2;10;1;2;1.5;0.5;1;0.0121223936202079;4.00869725588494e-06;0.00735591665049358;2.67462162373021e-06;2.06840702169743e-51;0.0213272766727658;-0.0588348405414552;0;0.98058067569092;0.483755786496452;1;1.02597199402978e-43
963181576293704;374;2;5;2;10;1;2;1.5;0.5;1;0.000926189923750411;0.000182861135895415;0.00960383542754161;0.000174128021341019;4.08030196631106e-72;0.856151714919565;0.0534767004644512;0;0.994666628638792;0.351971955888547;1;1.35374388180312e-81
