ID;N;K;scale_batch_effect;covariate_effect;SD_residual;treatment_effect;interaction_effect;prob_treatment;p_treatment_rnd_no_control;p_treatment_rnd_control;p_interaction_rnd_no_control;p_interaction_rnd_control;p_treatment_anticlust_no_control;p_treatment_anticlust_control;p_interaction_anticlust_no_control;p_interaction_anticlust_control;p_treatment_confound_no_control;p_treatment_confound_control;p_interaction_confound_no_control;p_interaction_confound_control;cor_rnd;cor_anticlust;cor_confound;balance_rnd;balance_anticlust;balance_confound
204499447160;215;5;1;1;2;0;0;0.5;0.447352425386078;0.403254125241138;0.679272083191493;0.473512390099924;0.435259242206018;0.408623996765486;0.599451356291673;0.594659465601281;0.0124695381968711;0.585133442642599;0.600523495297909;0.456221757454435;NA;NA;NA;0.0516052478124493;0.99931976560052;5.98737234917668e-37
826818998825118;80;5;1;1;2;0;0;0.5;0.0608684170219618;0.0296806910138914;0.81836071108972;0.791123949282365;0.0502782189016932;0.0499322657348442;0.902107641153488;0.808512662999345;0.326629553475904;0.583121625542308;0.925549006226629;0.921483911166331;NA;NA;NA;0.608919169340985;0.995315499476507;3.71980317686986e-13
625078926138988;265;5;1;1;2;0;0;0.5;0.63166259057098;0.720215640859714;0.791193232311949;0.930349959140534;0.676206784155046;0.686953747887219;0.988380258491388;0.990980224727081;0.0278803251555277;0.807692348689504;0.955164125658244;0.914147075599965;NA;NA;NA;0.914553875608803;0.99955125408105;2.15790262928982e-45
636717794998732;110;5;1;1;2;0;0;0.5;0.847137394957886;0.951261099752916;0.703307837018726;0.682230375888809;0.96562722527336;0.936369783431749;0.652882915942248;0.6540038075052;0.836822566090852;0.799315421985233;0.677055967999736;0.772447437606221;NA;NA;NA;0.790668792519218;0.994288160592286;4.97189007298786e-20
676452660353158;280;5;1;1;2;0;0;0.5;0.279413690410787;0.305697528073978;0.24830556709828;0.212418570014365;0.413746549170348;0.39628948094065;0.222392200070251;0.219476857544876;0.408365250581816;0.110903937908859;0.263575049166745;0.256878671331376;NA;NA;NA;0.238255031491202;0.999106646232074;1.90199294493956e-47
872063596113794;230;5;1;1;2;0;0;0.5;0.938703116818475;0.849134373288623;0.0340092122086521;0.0382820726727935;0.792416930687882;0.812475604886506;0.0514694977304275;0.0498692068801739;0.534935621320963;0.0611721262904173;0.0563601299529974;0.0330114009590515;NA;NA;NA;0.288077118042458;0.998675743535214;1.35314035995988e-39
571637683784817;295;5;1;1;2;0;0;0.5;0.222356538048912;0.192657268966831;0.789932822928733;0.809983862622185;0.238766736617084;0.238030102866219;0.833787307307527;0.812209979769383;0.814122583545067;0.000702941174361843;0.775106200321435;0.717904761494886;NA;NA;NA;0.339089502470214;0.999638796292057;6.26993132763746e-50
368247310818835;210;5;1;1;2;0;0;0.5;0.695651961375769;0.587093841202848;0.824164288551846;0.741738387912374;0.596038658410399;0.629335543297947;0.716789324464997;0.717529541122486;0.602880501636632;0.937097166738169;0.827227832188164;0.858205441845135;NA;NA;NA;0.157390875750406;0.998414433941374;3.03994951650733e-36
835964438779456;145;5;1;1;2;0;0;0.5;0.235576301985333;0.208629057070449;0.340553656366512;0.272355964541162;0.265572274887837;0.280752847955812;0.271017270932143;0.234089288073458;0.31912452959217;0.0327254078975734;0.439084414211917;0.40923486633298;NA;NA;NA;0.865792480580781;0.996734279069049;1.01639302248622e-24
920231263387612;105;5;1;1;2;0;0;0.5;0.428206504836144;0.38063862884483;0.926513690450841;0.858358414213918;0.321416270808388;0.290159194655099;0.883853254875969;0.803773996481728;0.819445221734931;0.266530704360139;0.824750471637965;0.877063420916213;NA;NA;NA;0.575462634840315;0.993945211589489;2.41770549724305e-17
29859719309722;75;5;1;1;2;0;0;0.5;0.281120332225956;0.393359615164427;0.263244178076556;0.270224932605482;0.237592003951742;0.205850252414249;0.367283081413523;0.350880358025165;0.0494713991373804;0.134235791965787;0.348004497781174;0.324079694452478;NA;NA;NA;0.332300009371241;0.988482916020489;2.81238967338903e-12
899441102133389;295;5;1;1;2;0;0;0.5;0.892975183060042;0.976487364611489;0.354923909008873;0.243426062197945;0.832979333235509;0.863603276979013;0.257074428737416;0.258788691929959;0.660245589701717;0.24593979983852;0.306956815492302;0.213162314887509;NA;NA;NA;0.0246761604773873;0.999638796292057;6.26993132763746e-50
404120614807983;110;5;1;1;2;0;0;0.5;0.319670713488727;0.394262489566052;0.0927046543766941;0.171826563688677;0.352200142016815;0.357480463906612;0.186612520023431;0.179067440172432;0.450867556188857;0.635575996788101;0.200108096663238;0.2149487328014;NA;NA;NA;0.872007951272425;0.997478539420028;3.21501084905927e-18
626692252741063;235;5;1;1;2;0;0;0.5;0.523427398750804;0.410838010219218;0.51972620790431;0.54084292160734;0.509575272326398;0.522268599058155;0.575736159885393;0.595968445146758;0.188610670301186;0.484569684190073;0.633279177102871;0.525145369613417;NA;NA;NA;0.828454890785187;0.998695539460312;7.2377710265355e-44
